Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	7	0	0	LastDelay	0.028808	28808	1	1
1.02881	7	0	0	FullDelay	0.028808	28808	1	1
1.58702	0	0	0	LastDelay	0.087016	87016	1	3
1.58702	0	0	0	FullDelay	0.087016	87016	1	3
2.02895	8	0	0	LastDelay	0.028952	28952	1	1
2.02895	8	0	0	FullDelay	0.028952	28952	1	1
2.58642	0	0	1	LastDelay	0.086424	86424	1	3
2.58642	0	0	1	FullDelay	0.086424	86424	1	3
3.02903	7	0	0	LastDelay	0.029032	29032	1	3
3.02903	7	0	0	FullDelay	0.029032	29032	1	3
4.02881	8	0	1	LastDelay	0.028808	28808	1	1
4.02881	8	0	1	FullDelay	0.028808	28808	1	1
4.08702	0	0	1	LastDelay	0.087016	87016	1	3
4.08702	0	0	1	FullDelay	0.087016	87016	1	3
5.02895	7	0	1	LastDelay	0.028952	28952	1	1
5.02895	7	0	1	FullDelay	0.028952	28952	1	1
5.08642	0	0	2	LastDelay	0.086424	86424	1	3
5.08642	0	0	2	FullDelay	0.086424	86424	1	3
6.02903	8	0	1	LastDelay	0.029032	29032	1	3
6.02903	8	0	1	FullDelay	0.029032	29032	1	3
6.58702	0	0	2	LastDelay	0.087016	87016	1	3
6.58702	0	0	2	FullDelay	0.087016	87016	1	3
7.02895	7	0	2	LastDelay	0.028952	28952	1	1
7.02895	7	0	2	FullDelay	0.028952	28952	1	1
7.58642	0	0	3	LastDelay	0.086424	86424	1	3
7.58642	0	0	3	FullDelay	0.086424	86424	1	3
8.02895	8	0	2	LastDelay	0.028952	28952	1	1
8.02895	8	0	2	FullDelay	0.028952	28952	1	1
9.02881	7	0	3	LastDelay	0.028808	28808	1	1
9.02881	7	0	3	FullDelay	0.028808	28808	1	1
9.08702	0	0	3	LastDelay	0.087016	87016	1	3
9.08702	0	0	3	FullDelay	0.087016	87016	1	3
10.029	8	0	3	LastDelay	0.028952	28952	1	1
10.029	8	0	3	FullDelay	0.028952	28952	1	1
10.0867	0	0	4	LastDelay	0.086672	86672	1	3
10.0867	0	0	4	FullDelay	0.086672	86672	1	3
11.029	7	0	3	LastDelay	0.029032	29032	1	3
11.029	7	0	3	FullDelay	0.029032	29032	1	3
11.587	0	0	4	LastDelay	0.087016	87016	1	3
11.587	0	0	4	FullDelay	0.087016	87016	1	3
12.029	8	0	4	LastDelay	0.028952	28952	1	1
12.029	8	0	4	FullDelay	0.028952	28952	1	1
12.5864	0	0	5	LastDelay	0.086424	86424	1	3
12.5864	0	0	5	FullDelay	0.086424	86424	1	3
13.029	7	0	4	LastDelay	0.028952	28952	1	1
13.029	7	0	4	FullDelay	0.028952	28952	1	1
14.0288	8	0	5	LastDelay	0.028808	28808	1	1
14.0288	8	0	5	FullDelay	0.028808	28808	1	1
14.0872	0	0	5	LastDelay	0.087184	87184	1	3
14.0872	0	0	5	FullDelay	0.087184	87184	1	3
15.029	7	0	5	LastDelay	0.028952	28952	1	1
15.029	7	0	5	FullDelay	0.028952	28952	1	1
15.0864	0	0	6	LastDelay	0.086424	86424	1	3
15.0864	0	0	6	FullDelay	0.086424	86424	1	3
16.029	8	0	5	LastDelay	0.029032	29032	1	3
16.029	8	0	5	FullDelay	0.029032	29032	1	3
16.587	0	0	6	LastDelay	0.087016	87016	1	3
16.587	0	0	6	FullDelay	0.087016	87016	1	3
17.029	7	0	6	LastDelay	0.028952	28952	1	1
17.029	7	0	6	FullDelay	0.028952	28952	1	1
17.5864	0	0	7	LastDelay	0.086424	86424	1	3
17.5864	0	0	7	FullDelay	0.086424	86424	1	3
18.029	8	0	6	LastDelay	0.028952	28952	1	1
18.029	8	0	6	FullDelay	0.028952	28952	1	1
19.0288	7	0	7	LastDelay	0.028808	28808	1	1
19.0288	7	0	7	FullDelay	0.028808	28808	1	1
19.087	0	0	7	LastDelay	0.087016	87016	1	3
19.087	0	0	7	FullDelay	0.087016	87016	1	3
