Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	3	0	0	LastDelay	0.028808	28808	1	1
1.02881	3	0	0	FullDelay	0.028808	28808	1	1
2.0579	6	0	0	LastDelay	0.057904	57904	1	2
2.0579	6	0	0	FullDelay	0.057904	57904	1	2
2.09515	0	0	0	LastDelay	0.095152	95152	1	4
2.09515	0	0	0	FullDelay	0.595152	595152	2	4
3.02903	3	0	0	LastDelay	0.029032	29032	1	3
3.02903	3	0	0	FullDelay	0.029032	29032	1	3
3.08642	0	0	1	LastDelay	0.086424	86424	1	3
3.08642	0	0	1	FullDelay	0.086424	86424	1	3
4.0579	6	0	1	LastDelay	0.057904	57904	1	2
4.0579	6	0	1	FullDelay	0.057904	57904	1	2
5.07653	0	0	1	LastDelay	0.076528	76528	1	3
5.07653	0	0	1	FullDelay	0.576528	576528	2	3
6.05762	3	0	2	LastDelay	0.057616	57616	1	2
6.05762	3	0	2	FullDelay	0.057616	57616	1	2
6.0579	6	0	2	LastDelay	0.057904	57904	1	2
6.0579	6	0	2	FullDelay	0.057904	57904	1	2
6.0761	0	0	2	LastDelay	0.076096	76096	1	3
6.0761	0	0	2	FullDelay	0.076096	76096	1	3
8.0579	6	0	3	LastDelay	0.057904	57904	1	2
8.0579	6	0	3	FullDelay	0.057904	57904	1	2
8.05806	3	0	2	LastDelay	0.058064	58064	1	2
8.05806	3	0	2	FullDelay	0.058064	58064	1	2
8.07669	0	0	2	LastDelay	0.076688	76688	1	3
8.07669	0	0	2	FullDelay	0.576688	576688	2	3
9.08642	0	0	3	LastDelay	0.086424	86424	1	3
9.08642	0	0	3	FullDelay	0.086424	86424	1	3
10.0576	3	0	1	LastDelay	0.057616	57616	1	2
10.0576	3	0	1	FullDelay	5.05762	5.05762e+06	2	2
10.0579	6	0	4	LastDelay	0.057904	57904	1	2
10.0579	6	0	4	FullDelay	0.057904	57904	1	2
11.1161	0	0	3	LastDelay	0.116128	116128	1	4
11.1161	0	0	3	FullDelay	0.616128	616128	2	4
12.0579	6	0	5	LastDelay	0.057904	57904	1	2
12.0579	6	0	5	FullDelay	0.057904	57904	1	2
12.0864	0	0	4	LastDelay	0.086424	86424	1	3
12.0864	0	0	4	FullDelay	0.086424	86424	1	3
13.0871	3	0	1	LastDelay	0.087096	87096	1	3
13.0871	3	0	1	FullDelay	1.0871	1.0871e+06	2	3
14.0579	6	0	6	LastDelay	0.057904	57904	1	2
14.0579	6	0	6	FullDelay	0.057904	57904	1	2
14.1161	0	0	4	LastDelay	0.116128	116128	1	4
14.1161	0	0	4	FullDelay	0.616128	616128	2	4
15.0576	3	0	3	LastDelay	0.057616	57616	1	2
15.0576	3	0	3	FullDelay	0.057616	57616	1	2
15.0864	0	0	5	LastDelay	0.086424	86424	1	3
15.0864	0	0	5	FullDelay	0.086424	86424	1	3
16.0579	6	0	7	LastDelay	0.057904	57904	1	2
16.0579	6	0	7	FullDelay	0.057904	57904	1	2
17.1161	0	0	5	LastDelay	0.116128	116128	1	4
17.1161	0	0	5	FullDelay	0.616128	616128	2	4
18.0579	6	0	8	LastDelay	0.057904	57904	1	2
18.0579	6	0	8	FullDelay	0.057904	57904	1	2
18.0864	0	0	6	LastDelay	0.086424	86424	1	3
18.0864	0	0	6	FullDelay	0.086424	86424	1	3
18.0871	3	0	3	LastDelay	0.087096	87096	1	3
18.0871	3	0	3	FullDelay	1.0871	1.0871e+06	2	3
