Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.58702	0	0	0	LastDelay	0.087016	87016	1	3
1.58702	0	0	0	FullDelay	0.087016	87016	1	3
2.58642	0	0	1	LastDelay	0.086424	86424	1	3
2.58642	0	0	1	FullDelay	0.086424	86424	1	3
4.08702	0	0	1	LastDelay	0.087016	87016	1	3
4.08702	0	0	1	FullDelay	0.087016	87016	1	3
5.08642	0	0	2	LastDelay	0.086424	86424	1	3
5.08642	0	0	2	FullDelay	0.086424	86424	1	3
6.58702	0	0	2	LastDelay	0.087016	87016	1	3
6.58702	0	0	2	FullDelay	0.087016	87016	1	3
7.58642	0	0	3	LastDelay	0.086424	86424	1	3
7.58642	0	0	3	FullDelay	0.086424	86424	1	3
9.08702	0	0	3	LastDelay	0.087016	87016	1	3
9.08702	0	0	3	FullDelay	0.087016	87016	1	3
10.0864	0	0	4	LastDelay	0.086424	86424	1	3
10.0864	0	0	4	FullDelay	0.086424	86424	1	3
11.587	0	0	4	LastDelay	0.087016	87016	1	3
11.587	0	0	4	FullDelay	0.087016	87016	1	3
12.5864	0	0	5	LastDelay	0.086424	86424	1	3
12.5864	0	0	5	FullDelay	0.086424	86424	1	3
14.087	0	0	5	LastDelay	0.087016	87016	1	3
14.087	0	0	5	FullDelay	0.087016	87016	1	3
15.0864	0	0	6	LastDelay	0.086424	86424	1	3
15.0864	0	0	6	FullDelay	0.086424	86424	1	3
16.587	0	0	6	LastDelay	0.087016	87016	1	3
16.587	0	0	6	FullDelay	0.087016	87016	1	3
17.5864	0	0	7	LastDelay	0.086424	86424	1	3
17.5864	0	0	7	FullDelay	0.086424	86424	1	3
19.087	0	0	7	LastDelay	0.087016	87016	1	3
19.087	0	0	7	FullDelay	0.087016	87016	1	3
