Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	7	0	0	LastDelay	0.028808	28808	1	1
1.02881	7	0	0	FullDelay	0.028808	28808	1	1
3.05831	0	0	0	LastDelay	0.058312	58312	1	2
3.05831	0	0	0	FullDelay	1.55831	1.55831e+06	4	2
3.05831	7	0	0	LastDelay	0.058312	58312	1	2
3.05831	7	0	0	FullDelay	0.058312	58312	1	2
3.08642	8	0	1	LastDelay	0.086424	86424	1	3
3.08642	8	0	1	FullDelay	0.086424	86424	1	3
4.02881	0	0	1	LastDelay	0.028808	28808	1	1
4.02881	0	0	1	FullDelay	0.028808	28808	1	1
5.02881	7	0	1	LastDelay	0.028808	28808	1	1
5.02881	7	0	1	FullDelay	0.028808	28808	1	1
5.55806	0	0	1	LastDelay	0.058064	58064	1	2
5.55806	0	0	1	FullDelay	0.058064	58064	1	2
5.55806	8	0	1	LastDelay	0.558064	558064	1	2
5.55806	8	0	1	FullDelay	0.558064	558064	1	2
6.58642	0	0	2	LastDelay	0.086424	86424	1	3
6.58642	0	0	2	FullDelay	0.086424	86424	1	3
7.02881	8	0	2	LastDelay	0.028808	28808	1	1
7.02881	8	0	2	FullDelay	0.028808	28808	1	1
7.02903	7	0	1	LastDelay	0.029032	29032	1	2
7.02903	7	0	1	FullDelay	0.029032	29032	1	2
9.05806	0	0	2	LastDelay	0.058064	58064	1	2
9.05806	0	0	2	FullDelay	1.05806	1.05806e+06	3	2
9.05806	8	0	2	LastDelay	0.058064	58064	1	2
9.05806	8	0	2	FullDelay	0.058064	58064	1	2
10.0864	0	0	3	LastDelay	0.086424	86424	1	3
10.0864	0	0	3	FullDelay	0.086424	86424	1	3
11.0288	8	0	3	LastDelay	0.028808	28808	1	1
11.0288	8	0	3	FullDelay	0.028808	28808	1	1
13.0583	0	0	3	LastDelay	0.058312	58312	1	2
13.0583	0	0	3	FullDelay	1.55831	1.55831e+06	4	2
13.0583	8	0	3	LastDelay	0.058312	58312	1	2
13.0583	8	0	3	FullDelay	0.058312	58312	1	2
13.0864	7	0	2	LastDelay	0.086424	86424	1	3
13.0864	7	0	2	FullDelay	4.08642	4.08642e+06	4	3
14.0864	0	0	4	LastDelay	0.086424	86424	1	3
14.0864	0	0	4	FullDelay	0.086424	86424	1	3
15.0288	8	0	4	LastDelay	0.028808	28808	1	1
15.0288	8	0	4	FullDelay	0.028808	28808	1	1
17.0581	0	0	4	LastDelay	0.058064	58064	1	2
17.0581	0	0	4	FullDelay	1.55806	1.55806e+06	4	2
17.0581	8	0	4	LastDelay	0.058064	58064	1	2
17.0581	8	0	4	FullDelay	0.058064	58064	1	2
18.0864	7	0	3	LastDelay	0.086424	86424	1	3
18.0864	7	0	3	FullDelay	6.08642	6.08642e+06	2	3
18.0949	0	0	5	LastDelay	0.094904	94904	1	3
18.0949	0	0	5	FullDelay	0.094904	94904	1	3
19.0288	8	0	5	LastDelay	0.028808	28808	1	1
19.0288	8	0	5	FullDelay	0.028808	28808	1	1
