Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	3	0	0	LastDelay	0.028808	28808	1	1
1.02881	3	0	0	FullDelay	0.028808	28808	1	1
2.0579	6	0	0	LastDelay	0.057904	57904	1	2
2.0579	6	0	0	FullDelay	0.057904	57904	1	2
3.06847	3	0	0	LastDelay	0.068472	68472	1	2
3.06847	3	0	0	FullDelay	0.068472	68472	1	2
3.0871	0	0	0	LastDelay	0.087096	87096	1	3
3.0871	0	0	0	FullDelay	1.5871	1.5871e+06	4	3
4.0579	6	0	1	LastDelay	0.057904	57904	1	2
4.0579	6	0	1	FullDelay	0.057904	57904	1	2
4.08642	0	0	1	LastDelay	0.086424	86424	1	3
4.08642	0	0	1	FullDelay	0.086424	86424	1	3
5.02881	3	0	1	LastDelay	0.028808	28808	1	1
5.02881	3	0	1	FullDelay	0.028808	28808	1	1
6.0579	6	0	2	LastDelay	0.057904	57904	1	2
6.0579	6	0	2	FullDelay	0.057904	57904	1	2
7.0975	3	0	1	LastDelay	0.097504	97504	1	3
7.0975	3	0	1	FullDelay	0.097504	97504	1	3
7.11613	0	0	1	LastDelay	0.116128	116128	1	4
7.11613	0	0	1	FullDelay	1.61613	1.61613e+06	4	4
8.0579	6	0	3	LastDelay	0.057904	57904	1	2
8.0579	6	0	3	FullDelay	0.057904	57904	1	2
8.08642	0	0	2	LastDelay	0.086424	86424	1	3
8.08642	0	0	2	FullDelay	0.086424	86424	1	3
9.02881	3	0	2	LastDelay	0.028808	28808	1	1
9.02881	3	0	2	FullDelay	0.028808	28808	1	1
10.0579	6	0	4	LastDelay	0.057904	57904	1	2
10.0579	6	0	4	FullDelay	0.057904	57904	1	2
11.0975	3	0	2	LastDelay	0.097504	97504	1	3
11.0975	3	0	2	FullDelay	0.097504	97504	1	3
11.1161	0	0	2	LastDelay	0.116128	116128	1	4
11.1161	0	0	2	FullDelay	1.61613	1.61613e+06	4	4
12.0579	6	0	5	LastDelay	0.057904	57904	1	2
12.0579	6	0	5	FullDelay	0.057904	57904	1	2
12.0864	0	0	3	LastDelay	0.086424	86424	1	3
12.0864	0	0	3	FullDelay	0.086424	86424	1	3
13.0288	3	0	3	LastDelay	0.028808	28808	1	1
13.0288	3	0	3	FullDelay	0.028808	28808	1	1
14.0579	6	0	6	LastDelay	0.057904	57904	1	2
14.0579	6	0	6	FullDelay	0.057904	57904	1	2
15.0975	3	0	3	LastDelay	0.097504	97504	1	3
15.0975	3	0	3	FullDelay	0.097504	97504	1	3
15.1161	0	0	3	LastDelay	0.116128	116128	1	4
15.1161	0	0	3	FullDelay	1.61613	1.61613e+06	4	4
16.0579	6	0	7	LastDelay	0.057904	57904	1	2
16.0579	6	0	7	FullDelay	0.057904	57904	1	2
16.0864	0	0	4	LastDelay	0.086424	86424	1	3
16.0864	0	0	4	FullDelay	0.086424	86424	1	3
17.0288	3	0	4	LastDelay	0.028808	28808	1	1
17.0288	3	0	4	FullDelay	0.028808	28808	1	1
18.0579	6	0	8	LastDelay	0.057904	57904	1	2
18.0579	6	0	8	FullDelay	0.057904	57904	1	2
19.0975	3	0	4	LastDelay	0.097504	97504	1	3
19.0975	3	0	4	FullDelay	0.097504	97504	1	3
19.1161	0	0	4	LastDelay	0.116128	116128	1	4
19.1161	0	0	4	FullDelay	1.61613	1.61613e+06	4	4
