Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	7	0	0	LastDelay	0.028808	28808	1	1
1.02881	7	0	0	FullDelay	0.028808	28808	1	1
1.33702	0	0	0	LastDelay	0.087016	87016	1	3
1.33702	0	0	0	FullDelay	0.087016	87016	1	3
1.83686	0	0	1	LastDelay	0.086856	86856	1	3
1.83686	0	0	1	FullDelay	0.086856	86856	1	3
2.02895	8	0	0	LastDelay	0.028952	28952	1	1
2.02895	8	0	0	FullDelay	0.028952	28952	1	1
3.02903	7	0	0	LastDelay	0.029032	29032	1	3
3.02903	7	0	0	FullDelay	0.029032	29032	1	3
3.08686	0	0	2	LastDelay	0.086856	86856	1	3
3.08686	0	0	2	FullDelay	0.086856	86856	1	3
4.08686	8	0	1	LastDelay	0.086856	86856	1	3
4.08686	8	0	1	FullDelay	0.086856	86856	1	3
4.33686	0	0	3	LastDelay	0.086856	86856	1	3
4.33686	0	0	3	FullDelay	0.086856	86856	1	3
5.02895	7	0	1	LastDelay	0.028952	28952	1	1
5.02895	7	0	1	FullDelay	0.028952	28952	1	1
5.58686	0	0	4	LastDelay	0.086856	86856	1	3
5.58686	0	0	4	FullDelay	0.086856	86856	1	3
6.0871	8	0	2	LastDelay	0.087104	87104	1	3
6.0871	8	0	2	FullDelay	0.087104	87104	1	3
6.83686	0	0	5	LastDelay	0.086856	86856	1	3
6.83686	0	0	5	FullDelay	0.086856	86856	1	3
7.02895	7	0	2	LastDelay	0.028952	28952	1	1
7.02895	7	0	2	FullDelay	0.028952	28952	1	1
8.08686	8	0	3	LastDelay	0.086856	86856	1	3
8.08686	8	0	3	FullDelay	0.086856	86856	1	3
8.09548	0	0	6	LastDelay	0.09548	95480	1	3
8.09548	0	0	6	FullDelay	0.09548	95480	1	3
9.02895	7	0	3	LastDelay	0.028952	28952	1	1
9.02895	7	0	3	FullDelay	0.028952	28952	1	1
9.33686	0	0	7	LastDelay	0.086856	86856	1	3
9.33686	0	0	7	FullDelay	0.086856	86856	1	3
10.0871	8	0	4	LastDelay	0.087104	87104	1	3
10.0871	8	0	4	FullDelay	0.087104	87104	1	3
10.5869	0	0	8	LastDelay	0.086856	86856	1	3
10.5869	0	0	8	FullDelay	0.086856	86856	1	3
11.029	7	0	4	LastDelay	0.028952	28952	1	1
11.029	7	0	4	FullDelay	0.028952	28952	1	1
11.8369	0	0	9	LastDelay	0.086856	86856	1	3
11.8369	0	0	9	FullDelay	0.086856	86856	1	3
12.0869	8	0	5	LastDelay	0.086856	86856	1	3
12.0869	8	0	5	FullDelay	0.086856	86856	1	3
13.029	7	0	5	LastDelay	0.028952	28952	1	1
13.029	7	0	5	FullDelay	0.028952	28952	1	1
13.0869	0	0	10	LastDelay	0.086856	86856	1	3
13.0869	0	0	10	FullDelay	0.086856	86856	1	3
14.0871	8	0	6	LastDelay	0.087104	87104	1	3
14.0871	8	0	6	FullDelay	0.087104	87104	1	3
14.3369	0	0	11	LastDelay	0.086856	86856	1	3
14.3369	0	0	11	FullDelay	0.086856	86856	1	3
15.029	7	0	6	LastDelay	0.028952	28952	1	1
15.029	7	0	6	FullDelay	0.028952	28952	1	1
15.5869	0	0	12	LastDelay	0.086856	86856	1	3
15.5869	0	0	12	FullDelay	0.086856	86856	1	3
16.0869	8	0	7	LastDelay	0.086856	86856	1	3
16.0869	8	0	7	FullDelay	0.086856	86856	1	3
16.8369	0	0	13	LastDelay	0.086856	86856	1	3
16.8369	0	0	13	FullDelay	0.086856	86856	1	3
17.029	7	0	7	LastDelay	0.028952	28952	1	1
17.029	7	0	7	FullDelay	0.028952	28952	1	1
18.0871	8	0	8	LastDelay	0.087104	87104	1	3
18.0871	8	0	8	FullDelay	0.087104	87104	1	3
18.0957	0	0	14	LastDelay	0.095728	95728	1	3
18.0957	0	0	14	FullDelay	0.095728	95728	1	3
19.029	7	0	8	LastDelay	0.028952	28952	1	1
19.029	7	0	8	FullDelay	0.028952	28952	1	1
19.3369	0	0	15	LastDelay	0.086856	86856	1	3
19.3369	0	0	15	FullDelay	0.086856	86856	1	3
