Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	3	0	0	LastDelay	0.028808	28808	1	1
1.02881	3	0	0	FullDelay	0.028808	28808	1	1
2.02881	6	0	0	LastDelay	0.028808	28808	1	1
2.02881	6	0	0	FullDelay	0.028808	28808	1	1
3.08694	3	0	0	LastDelay	0.086936	86936	1	3
3.08694	3	0	0	FullDelay	0.086936	86936	1	3
3.10556	0	0	0	LastDelay	0.10556	105560	1	4
3.10556	0	0	0	FullDelay	1.85556	1.85556e+06	8	4
3.61581	0	0	1	LastDelay	0.115808	115808	1	4
3.61581	0	0	1	FullDelay	0.115808	115808	1	4
4.02895	6	0	0	LastDelay	0.028952	28952	1	1
4.02895	6	0	0	FullDelay	0.028952	28952	1	1
4.86581	0	0	2	LastDelay	0.115808	115808	1	4
4.86581	0	0	2	FullDelay	0.115808	115808	1	4
5.02895	3	0	1	LastDelay	0.028952	28952	1	1
5.02895	3	0	1	FullDelay	0.028952	28952	1	1
6	6	0	1	LastDelay	0	0	1	0
6	6	0	1	FullDelay	0	0	1	0
6.11581	0	0	3	LastDelay	0.115808	115808	1	4
6.11581	0	0	3	FullDelay	0.115808	115808	1	4
7.08686	3	0	2	LastDelay	0.086856	86856	1	3
7.08686	3	0	2	FullDelay	0.086856	86856	1	3
7.36581	0	0	4	LastDelay	0.115808	115808	1	4
7.36581	0	0	4	FullDelay	0.115808	115808	1	4
8.02895	6	0	2	LastDelay	0.028952	28952	1	1
8.02895	6	0	2	FullDelay	0.028952	28952	1	1
8.61581	0	0	5	LastDelay	0.115808	115808	1	4
8.61581	0	0	5	FullDelay	0.115808	115808	1	4
9.08686	3	0	3	LastDelay	0.086856	86856	1	3
9.08686	3	0	3	FullDelay	0.086856	86856	1	3
9.86581	0	0	6	LastDelay	0.115808	115808	1	4
9.86581	0	0	6	FullDelay	0.115808	115808	1	4
10.029	6	0	3	LastDelay	0.028952	28952	1	1
10.029	6	0	3	FullDelay	0.028952	28952	1	1
11.0869	3	0	4	LastDelay	0.086856	86856	1	3
11.0869	3	0	4	FullDelay	0.086856	86856	1	3
11.1158	0	0	7	LastDelay	0.115808	115808	1	4
11.1158	0	0	7	FullDelay	0.115808	115808	1	4
12.029	6	0	4	LastDelay	0.028952	28952	1	1
12.029	6	0	4	FullDelay	0.028952	28952	1	1
12.3658	0	0	8	LastDelay	0.115808	115808	1	4
12.3658	0	0	8	FullDelay	0.115808	115808	1	4
13.0869	3	0	5	LastDelay	0.086856	86856	1	3
13.0869	3	0	5	FullDelay	0.086856	86856	1	3
13.6158	0	0	9	LastDelay	0.115808	115808	1	4
13.6158	0	0	9	FullDelay	0.115808	115808	1	4
14.029	6	0	5	LastDelay	0.028952	28952	1	1
14.029	6	0	5	FullDelay	0.028952	28952	1	1
14.8658	0	0	10	LastDelay	0.115808	115808	1	4
14.8658	0	0	10	FullDelay	0.115808	115808	1	4
15.0869	3	0	6	LastDelay	0.086856	86856	1	3
15.0869	3	0	6	FullDelay	0.086856	86856	1	3
16.029	6	0	6	LastDelay	0.028952	28952	1	1
16.029	6	0	6	FullDelay	0.028952	28952	1	1
16.1158	0	0	11	LastDelay	0.115808	115808	1	4
16.1158	0	0	11	FullDelay	0.115808	115808	1	4
17.0869	3	0	7	LastDelay	0.086856	86856	1	3
17.0869	3	0	7	FullDelay	0.086856	86856	1	3
17.3658	0	0	12	LastDelay	0.115808	115808	1	4
17.3658	0	0	12	FullDelay	0.115808	115808	1	4
18.029	6	0	7	LastDelay	0.028952	28952	1	1
18.029	6	0	7	FullDelay	0.028952	28952	1	1
18.6158	0	0	13	LastDelay	0.115808	115808	1	4
18.6158	0	0	13	FullDelay	0.115808	115808	1	4
19.0869	3	0	8	LastDelay	0.086856	86856	1	3
19.0869	3	0	8	FullDelay	0.086856	86856	1	3
19.8658	0	0	14	LastDelay	0.115808	115808	1	4
19.8658	0	0	14	FullDelay	0.115808	115808	1	4
