Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	3	0	0	LastDelay	0.028808	28808	1	1
1.02881	3	0	0	FullDelay	0.028808	28808	1	1
2.02881	6	0	0	LastDelay	0.028808	28808	1	1
2.02881	6	0	0	FullDelay	0.028808	28808	1	1
3.08694	3	0	0	LastDelay	0.086936	86936	1	3
3.08694	3	0	0	FullDelay	0.086936	86936	1	3
3.10556	0	0	0	LastDelay	0.10556	105560	1	4
3.10556	0	0	0	FullDelay	1.85556	1.85556e+06	8	4
3.58642	0	0	1	LastDelay	0.086424	86424	1	3
3.58642	0	0	1	FullDelay	0.086424	86424	1	3
4.02895	6	0	0	LastDelay	0.028952	28952	1	1
4.02895	6	0	0	FullDelay	0.028952	28952	1	1
6.05762	3	0	2	LastDelay	0.057616	57616	1	2
6.05762	3	0	2	FullDelay	0.057616	57616	1	2
7.02881	6	0	2	LastDelay	0.028808	28808	1	1
7.02881	6	0	2	FullDelay	0.028808	28808	1	1
8.08694	3	0	2	LastDelay	0.086936	86936	1	3
8.08694	3	0	2	FullDelay	0.086936	86936	1	3
9.02895	6	0	2	LastDelay	0.028952	28952	1	1
9.02895	6	0	2	FullDelay	0.028952	28952	1	1
10.0288	3	0	1	LastDelay	0.028808	28808	1	1
10.0288	3	0	1	FullDelay	5.02881	5.02881e+06	2	1
11.0288	6	0	1	LastDelay	0.028808	28808	1	1
11.0288	6	0	1	FullDelay	5.02881	5.02881e+06	2	1
12.0869	3	0	1	LastDelay	0.086936	86936	1	3
12.0869	3	0	1	FullDelay	0.086936	86936	1	3
13.029	6	0	1	LastDelay	0.028952	28952	1	1
13.029	6	0	1	FullDelay	0.028952	28952	1	1
13.808	0	0	1	LastDelay	0.057984	57984	1	2
13.808	0	0	1	FullDelay	9.05798	9.05798e+06	37	2
14.0576	3	0	3	LastDelay	0.057616	57616	1	2
14.0576	3	0	3	FullDelay	0.057616	57616	1	2
14.3658	0	0	2	LastDelay	0.115808	115808	1	4
14.3658	0	0	2	FullDelay	0.115808	115808	1	4
15.0288	6	0	3	LastDelay	0.028808	28808	1	1
15.0288	6	0	3	FullDelay	0.028808	28808	1	1
15.5576	0	0	3	LastDelay	0.057616	57616	1	2
15.5576	0	0	3	FullDelay	0.057616	57616	1	2
16.0869	3	0	3	LastDelay	0.086936	86936	1	3
16.0869	3	0	3	FullDelay	0.086936	86936	1	3
16.8081	0	0	3	LastDelay	0.058064	58064	1	4
16.8081	0	0	3	FullDelay	0.058064	58064	1	4
17.029	6	0	3	LastDelay	0.028952	28952	1	1
17.029	6	0	3	FullDelay	0.028952	28952	1	1
17.3364	0	0	4	LastDelay	0.086424	86424	1	3
17.3364	0	0	4	FullDelay	0.086424	86424	1	3
18.0288	3	0	4	LastDelay	0.028808	28808	1	1
18.0288	3	0	4	FullDelay	0.028808	28808	1	1
19.0288	6	0	4	LastDelay	0.028808	28808	1	1
19.0288	6	0	4	FullDelay	0.028808	28808	1	1
